library,scenario,method,stratum,n,truth_in_library_n,top1_correct_k,truth_set_covered_k,set_coverage,set_coverage_low95,set_coverage_high95,mean_set_size,median_set_size,empty_k,singleton_k,multiple_k,unique_k,unique_rate,unique_rate_low95,unique_rate_high95,correct_unique_k,wrong_unique_k,false_unique_rate,false_unique_low95,false_unique_high95,unique_accuracy,selective_error,selective_error_low95,selective_error_high95,rejected_k,low_confidence_k,ambiguous_k,domain_rejected_k,mean_decision_time_s
scale_large,in_domain,M2_class_conditional,class_002,50,50,38,48,0.96,0.86539909312493,0.98896111567238,2.74,2,0,2,48,0,0,6.93889390390723e-18,0.0713475991333587,0,0,0,6.93889390390723e-18,0.0713475991333587,NaN,NaN,NaN,NaN,0,8,42,0,0.00014162
scale_large,in_domain,M2_class_conditional,class_003,50,50,30,49,0.98,0.895045564103622,0.996460740728354,5.52,7,1,0,49,0,0,6.93889390390723e-18,0.0713475991333587,0,0,0,6.93889390390723e-18,0.0713475991333587,NaN,NaN,NaN,NaN,1,4,45,0,0.00013926
scale_large,in_domain,M2_class_conditional,class_004,50,50,50,48,0.96,0.86539909312493,0.98896111567238,1.36,1,2,28,20,28,0.56,0.423060280216569,0.688378007887428,28,0,0,6.93889390390723e-18,0.0713475991333587,1,0,1.38777878078145e-17,0.120643304765846,2,20,0,0,0.00014092
scale_large,in_domain,M2_class_conditional,class_005,50,50,21,49,0.98,0.895045564103622,0.996460740728354,6.76,6,0,1,49,0,0,6.93889390390723e-18,0.0713475991333587,0,0,0,6.93889390390723e-18,0.0713475991333587,NaN,NaN,NaN,NaN,0,12,38,0,0.00014628
scale_large,in_domain,M2_class_conditional,class_006,50,50,28,43,0.86,0.738138062894145,0.930491665729837,12.2,15,2,2,46,0,0,6.93889390390723e-18,0.0713475991333587,0,0,0,6.93889390390723e-18,0.0713475991333587,NaN,NaN,NaN,NaN,2,2,46,0,0.00017406
scale_large,in_domain,M2_class_conditional,class_007,50,50,50,44,0.88,0.76195182616797,0.943823998490677,1.62,2,6,7,37,7,0.14,0.0695083342701629,0.261861937105855,7,0,0,6.93889390390723e-18,0.0713475991333587,1,0,5.55111512312578e-17,0.354330435066687,6,37,0,1,0.000141
scale_large,in_domain,M2_class_conditional,class_008,50,50,38,49,0.98,0.895045564103622,0.996460740728354,9.2,10.5,1,2,47,0,0,6.93889390390723e-18,0.0713475991333587,0,0,0,6.93889390390723e-18,0.0713475991333587,NaN,NaN,NaN,NaN,1,6,43,0,0.0001419
scale_large,in_domain,M2_class_conditional,class_009,50,50,30,49,0.98,0.895045564103622,0.996460740728354,11,13,1,3,46,0,0,6.93889390390723e-18,0.0713475991333587,0,0,0,6.93889390390723e-18,0.0713475991333587,NaN,NaN,NaN,NaN,2,3,45,2,0.00014678
scale_large,in_domain,M2_class_conditional,class_010,50,50,17,46,0.92,0.811617530816572,0.968450485911407,2.62,2,4,3,43,0,0,6.93889390390723e-18,0.0713475991333587,0,0,0,6.93889390390723e-18,0.0713475991333587,NaN,NaN,NaN,NaN,4,9,37,0,0.00014658
scale_large,in_domain,M2_class_conditional,class_011,50,50,50,49,0.98,0.895045564103622,0.996460740728354,5.14,5,1,14,35,14,0.28,0.174741706659112,0.416651236959566,14,0,0,6.93889390390723e-18,0.0713475991333587,1,0,1.38777878078145e-17,0.215310802737636,1,35,0,0,0.00014964
scale_large,in_domain,M2_class_conditional,class_012,50,50,35,49,0.98,0.895045564103622,0.996460740728354,12.04,14,1,5,44,0,0,6.93889390390723e-18,0.0713475991333587,0,0,0,6.93889390390723e-18,0.0713475991333587,NaN,NaN,NaN,NaN,1,5,44,0,0.00014612
scale_large,in_domain,M2_class_conditional,class_013,50,50,28,50,1,0.928652400866641,1,7.06,7.5,0,1,49,0,0,6.93889390390723e-18,0.0713475991333587,0,0,0,6.93889390390723e-18,0.0713475991333587,NaN,NaN,NaN,NaN,0,14,36,0,0.0001433
scale_large,in_domain,M2_class_conditional,class_014,50,50,50,48,0.96,0.86539909312493,0.98896111567238,10.66,13,2,3,45,2,0.04,0.0110388843276198,0.13460090687507,2,0,0,6.93889390390723e-18,0.0713475991333587,1,0,0,0.657619772493347,2,45,1,0,0.00016088
scale_large,in_domain,M2_class_conditional,class_015,50,50,27,47,0.94,0.837829083111618,0.979385029651026,8.76,8,3,0,47,0,0,6.93889390390723e-18,0.0713475991333587,0,0,0,6.93889390390723e-18,0.0713475991333587,NaN,NaN,NaN,NaN,3,1,46,2,0.00014712
scale_large,in_domain,M2_class_conditional,class_016,50,50,13,49,0.98,0.895045564103622,0.996460740728354,10.82,12,1,0,49,0,0,6.93889390390723e-18,0.0713475991333587,0,0,0,6.93889390390723e-18,0.0713475991333587,NaN,NaN,NaN,NaN,1,2,47,0,0.00014538
scale_large,in_domain,M2_class_conditional,class_017,50,50,50,50,1,0.928652400866641,1,10.02,13,0,2,48,1,0.02,0.00353925927164624,0.104954435896378,1,0,0,6.93889390390723e-18,0.0713475991333587,1,0,0,0.793450685622763,1,48,0,1,0.00014382
scale_large,in_domain,M2_class_conditional,class_018,50,50,22,49,0.98,0.895045564103622,0.996460740728354,5.24,7,0,1,49,0,0,6.93889390390723e-18,0.0713475991333587,0,0,0,6.93889390390723e-18,0.0713475991333587,NaN,NaN,NaN,NaN,0,3,47,0,0.0001448
