method_id,category,metric_name,numerator,denominator,rate,ci_low,ci_high,evaluable_count,definition_version
M3_frozen,parameter_out,false_unique_conditional,0,0,NaN,NaN,NaN,0,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,parameter_out,parameter_ood_false_acceptance,7,9,0.777777777777778,0.452588969106989,0.936774892882153,9,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,parameter_out,structure_ood_false_acceptance,0,0,NaN,NaN,NaN,0,stage4a7_1_independent_scenario_metrics_v1
M3_frozen,parameter_out,average_candidate_set_size,12,9,1.33333333333333,NaN,NaN,9,stage4a7_1_independent_scenario_metrics_v1
W_GLRT_compatible,all,topology_set_accuracy,28,30,0.933333333333333,0.786765416373831,0.98152297620873,30,stage4a7_1_independent_scenario_metrics_v1
W_GLRT_compatible,all,accepted_coverage,31,33,0.939393939393939,0.803937551913522,0.983219116912808,33,stage4a7_1_independent_scenario_metrics_v1
W_GLRT_compatible,all,topology_selective_risk,0,28,0,1.38777878078145e-17,0.120643304765846,28,stage4a7_1_independent_scenario_metrics_v1
W_GLRT_compatible,all,unique_output_precision,11,11,1,0.741167033031968,1,11,stage4a7_1_independent_scenario_metrics_v1
W_GLRT_compatible,all,singleton_rate,14,33,0.424242424242424,0.272355966334102,0.591927366626876,33,stage4a7_1_independent_scenario_metrics_v1
W_GLRT_compatible,all,ambiguous_set_rate,0,33,0,0,0.104269997542452,33,stage4a7_1_independent_scenario_metrics_v1
W_GLRT_compatible,all,equivalence_class_rate,17,33,0.515151515151515,0.352183754489141,0.674959578918663,33,stage4a7_1_independent_scenario_metrics_v1
W_GLRT_compatible,all,rejection_rate,2,33,0.0606060606060606,0.0167808830871919,0.196062448086478,33,stage4a7_1_independent_scenario_metrics_v1
W_GLRT_compatible,all,false_unique_unconditional,0,30,0,0,0.113513393173969,30,stage4a7_1_independent_scenario_metrics_v1
W_GLRT_compatible,all,false_unique_conditional,0,4,0,0,0.489890836454597,4,stage4a7_1_independent_scenario_metrics_v1
W_GLRT_compatible,all,parameter_ood_false_acceptance,7,9,0.777777777777778,0.452588969106989,0.936774892882153,9,stage4a7_1_independent_scenario_metrics_v1
W_GLRT_compatible,all,structure_ood_false_acceptance,3,3,1,0.438502968244955,1,3,stage4a7_1_independent_scenario_metrics_v1
W_GLRT_compatible,all,average_candidate_set_size,48,33,1.45454545454545,NaN,NaN,33,stage4a7_1_independent_scenario_metrics_v1
