mode,snr_db,pilot_spacing,input_mode,measurement_kind,observation_mode,feature,trials,strict_accuracy,strict_accuracy_std,strict_accuracy_ci95,strict_unique_rate,strict_unique_rate_std,strict_unique_ci95,equivalence_class_rate,ambiguity_rate,false_unique_rate,physically_ambiguous_class_rate,cfr_nmse,cfr_nmse_std,cfr_nmse_ci95,amplitude_rmse_db,weighted_phase_rmse_deg,circular_delay_error_s,mean_margin,view_count,frequency_count,edge_precision,edge_recall,edge_f1,runtime_s
audit,5,8,ofdm_sparse_interp,dual_receiver_complete,ordinary_ofdm_cfr,cir,200,1,0,0,1,0,0,1,0,0,0,0.0129891980492909,0.00066842081408685,9.26383985041006e-05,1.38702155462242,12.059442866529,0,0.00379102709624082,2,1793,1,1,1,85.22652457
audit,5,8,ofdm_sparse_interp,dual_receiver_complete,ordinary_ofdm_cfr,toa,200,0.5,0.501254707117086,0.0694703580908169,0.25,0.434099310129925,0.0601630949166493,0.5,0.75,0,0,0.0129891980492909,0.00066842081408685,9.26383985041006e-05,1.38702155462242,12.059442866529,0,1.93349510480697e-08,2,1793,0.899999999999999,0.899999999999999,0.899999999999999,85.22850193
audit,5,8,ofdm_sparse_interp,three_view_complete,ordinary_ofdm_cfr,amplitude,200,1,0,0,1,0,0,1,0,0,0,0.0129158496986753,0.000578828532503209,8.02215417735463e-05,1.3426622615467,9.33474814527794,0,0.00386767652326109,3,1793,1,1,1,92.16406882
audit,5,8,ofdm_sparse_interp,three_view_complete,ordinary_ofdm_cfr,amp_phase_joint_weighted,200,1,0,0,1,0,0,1,0,0,0,0.0129158496986753,0.000578828532503209,8.02215417735463e-05,1.3426622615467,9.33474814527794,0,0.0635112446635431,3,1793,1,1,1,92.172944075
audit,5,8,ofdm_sparse_interp,three_view_complete,ordinary_ofdm_cfr,cir,200,1,0,0,1,0,0,1,0,0,0,0.0129158496986753,0.000578828532503209,8.02215417735463e-05,1.3426622615467,9.33474814527794,0,0.00398797261464024,3,1793,1,1,1,92.186311655
audit,5,8,ofdm_sparse_interp,three_view_complete,ordinary_ofdm_cfr,toa,200,0.5,0.501254707117086,0.0694703580908169,0.25,0.434099310129925,0.0601630949166493,0.5,0.75,0,0,0.0129158496986753,0.000578828532503209,8.02215417735463e-05,1.3426622615467,9.33474814527794,0,1.57869214231538e-08,3,1793,0.899999999999999,0.899999999999999,0.899999999999999,92.188965425
audit,10,1,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,amplitude,200,0.76,0.428154858567053,0.0593392359625831,0.5,0.501254707117086,0.0694703580908169,1,0.5,0,0.5,0.0412545389750588,0.000994474991996453,0.000137827202069981,2.15643015222148,12.0815292369387,0,0.00162558235701362,1,1793,0.952,0.952,0.952,98.043406225
audit,10,1,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,amp_phase_joint_weighted,200,0.73,0.44507353579078,0.0616840449957294,0.5,0.501254707117086,0.0694703580908169,1,0.5,0,0.5,0.0412545389750588,0.000994474991996453,0.000137827202069981,2.15643015222148,12.0815292369387,0,0.0276879960286812,1,1793,0.946,0.946,0.946,98.04725453
audit,10,1,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,cir,200,0.75,0.434099310129925,0.0601630949166493,0.5,0.501254707117086,0.0694703580908169,1,0.5,0,0.5,0.0412545389750588,0.000994474991996453,0.000137827202069981,2.15643015222148,12.0815292369387,0,0.0018725701151786,1,1793,0.95,0.95,0.95,98.0526759
audit,10,1,ofdm_dense_ls,siso_forward,ordinary_ofdm_cfr,toa,200,0.25,0.434099310129925,0.0601630949166493,0,0,0,0.25,1,0,0.5,0.0412545389750588,0.000994474991996453,0.000137827202069981,2.15643015222148,12.0815292369387,0,0,1,1793,0.85,0.816666666666666,0.831818181818181,98.054037085
audit,10,1,ofdm_dense_ls,bidirectional_endpoint_fixed,ordinary_ofdm_cfr,amplitude,200,0.745,0.436954972784618,0.0605588695685206,0.5,0.501254707117086,0.0694703580908169,1,0.5,0,0.5,0.0412216342530781,0.000635752444369771,8.81107934556786e-05,2.16182894725929,12.2820266867995,0,0.00162599844561668,2,1793,0.949,0.949,0.949,102.836234525
audit,10,1,ofdm_dense_ls,bidirectional_endpoint_fixed,ordinary_ofdm_cfr,amp_phase_joint_weighted,200,0.715,0.45254722955165,0.0627198461053388,0.5,0.501254707117086,0.0694703580908169,1,0.5,0,0.5,0.0412216342530781,0.000635752444369771,8.81107934556786e-05,2.16182894725929,12.2820266867995,0,0.0275137725218715,2,1793,0.943,0.943,0.943,102.8429926
audit,10,1,ofdm_dense_ls,bidirectional_endpoint_fixed,ordinary_ofdm_cfr,cir,200,0.765,0.425062809429147,0.0589106998156007,0.5,0.501254707117086,0.0694703580908169,1,0.5,0,0.5,0.0412216342530781,0.000635752444369771,8.81107934556786e-05,2.16182894725929,12.2820266867995,0,0.00187401373959215,2,1793,0.953,0.953,0.953,102.852829085
audit,10,1,ofdm_dense_ls,bidirectional_endpoint_fixed,ordinary_ofdm_cfr,toa,200,0.25,0.434099310129925,0.0601630949166493,0,0,0,0.25,1,0,0.5,0.0412216342530781,0.000635752444369771,8.81107934556786e-05,2.16182894725929,12.2820266867995,0,0,2,1793,0.85,0.816666666666666,0.831818181818181,102.85484463
audit,10,1,ofdm_dense_ls,dual_receiver_complete,ordinary_ofdm_cfr,amplitude,200,1,0,0,1,0,0,1,0,0,0,0.0412485276118479,0.000700554149560455,9.70918515895443e-05,2.40607481692551,19.3998431934028,0,0.00309595587188576,2,1793,1,1,1,109.0214648
