measurement_kind,condition,snr_db,trial,true_id,predicted_id,method,feature,true_class,predicted_class,strict_correct,class_correct,unique_strict_correct,ambiguous,false_unique,best_distance,second_best_distance,distance_margin,class_intra_distance,nearest_class_inter_distance,intra_inter_ratio,nmse,amplitude_rmse_db,raw_phase_rmse_deg,weighted_phase_rmse_deg,valid_phase_fraction,view_count,runtime_s
bidirectional_endpoint_fixed,noise_only,30,1,T5,T5,nominal_nearest,amplitude_db_standardized,{T5},{T5},1,1,1,0,0,0.0753739388835134,0.115731332783691,0.0403573939001774,0.0753739388835134,0.115731332783691,0.651283771391384,0.00100833599162084,0.277649863966218,2.3342262865152,2.09051149582283,1,2,0.005398
bidirectional_endpoint_fixed,noise_only,30,1,T5,T5,nominal_nearest,phase_weighted,{T5},{T5},1,1,1,0,0,0.0116143126354174,0.0145278327788282,0.00291352014341081,0.0116143126354174,0.0145278327788282,0.799452527588509,0.00100833599162084,0.277649863966218,2.3342262865152,2.09051149582283,1,2,0.005332
bidirectional_endpoint_fixed,noise_only,30,1,T5,T5,nominal_nearest,complex,{T5},{T5},1,1,1,0,0,0.000749490707740219,0.00129853882151256,0.00054904811377234,0.000749490707740219,0.00129853882151256,0.577180054476308,0.00100833599162084,0.277649863966218,2.3342262865152,2.09051149582283,1,2,0.005476
bidirectional_endpoint_fixed,noise_only,30,1,T5,T5,nominal_nearest,amp_phase_joint_weighted,{T5},{T5},1,1,1,0,0,0.0082211534080588,0.0102937899770241,0.00207263656896531,0.0082211534080588,0.0102937899770241,0.798651752795475,0.00100833599162084,0.277649863966218,2.3342262865152,2.09051149582283,1,2,0.005396
bidirectional_endpoint_fixed,noise_only,30,2,T2,T2,nominal_nearest,amplitude,{T2},{T2},1,1,1,0,0,0.000525127642581521,0.00652014453675695,0.00599501689417543,0.000525127642581521,0.00652014453675695,0.0805392640640317,0.000980505063450734,0.292315786100846,1.93543264137335,1.55305251684364,1,2,0.005897
bidirectional_endpoint_fixed,noise_only,30,2,T2,T2,nominal_nearest,amplitude_raw_db,{T2},{T2},1,1,1,0,0,0.29237159607575,2.90279988764741,2.61042829157166,0.29237159607575,2.90279988764741,0.100720548226528,0.000980505063450734,0.292315786100846,1.93543264137335,1.55305251684364,1,2,0.00545
bidirectional_endpoint_fixed,noise_only,30,2,T2,T2,nominal_nearest,amplitude_db_standardized,{T2},{T2},1,1,1,0,0,0.0715455406907076,0.664942942718329,0.593397402027621,0.0715455406907076,0.664942942718329,0.10759651106037,0.000980505063450734,0.292315786100846,1.93543264137335,1.55305251684364,1,2,0.005452
bidirectional_endpoint_fixed,noise_only,30,2,T2,T2,nominal_nearest,phase_weighted,{T2},{T2},1,1,1,0,0,0.00862808948309617,0.125091737542085,0.116463648058989,0.00862808948309617,0.125091737542085,0.0689740957526744,0.000980505063450734,0.292315786100846,1.93543264137335,1.55305251684364,1,2,0.00566
bidirectional_endpoint_fixed,noise_only,30,2,T2,T2,nominal_nearest,complex,{T2},{T2},1,1,1,0,0,0.000739395253641352,0.00905721009310614,0.00831781483946479,0.000739395253641352,0.00905721009310614,0.0816360939009397,0.000980505063450734,0.292315786100846,1.93543264137335,1.55305251684364,1,2,0.00548
bidirectional_endpoint_fixed,noise_only,30,2,T2,T2,nominal_nearest,amp_phase_joint_weighted,{T2},{T2},1,1,1,0,0,0.0061122699207953,0.088639617238424,0.0825273473176287,0.0061122699207953,0.088639617238424,0.0689564114921033,0.000980505063450734,0.292315786100846,1.93543264137335,1.55305251684364,1,2,0.005483
