scenario,feature,sample_count,strict_accuracy,group_accuracy,numeric_tie_rate,mean_distance_gap,group_intra_distance,group_inter_distance,intra_inter_ratio,d_intra_ge_inter,sample_d_intra_ge_inter_rate
branch_length_-5percent,cir,6,0.83333333333333337,1,0.33333333333333331,0.0023892281833562423,0.0036400444171526686,0.0072326033495354906,0.50328273807334512,0,0
branch_length_-5percent,amp_phase_joint,6,0.83333333333333337,1,0.33333333333333331,0.04393727487256361,0.071389660745948713,0.13407364835583707,0.53246601119168147,0,0
branch_length_+5percent,amplitude,6,0.83333333333333337,1,0.33333333333333331,0.0023310524791696481,0.0036243798483641919,0.0068831924594419678,0.52655506434263299,0,0
branch_length_+5percent,amplitude_raw_db,6,0.83333333333333337,1,0.33333333333333331,1.6382299348318881,2.7485867499626528,4.9967454017337722,0.55007540488433682,0,0
branch_length_+5percent,amplitude_db_standardized,6,0.83333333333333337,1,0.33333333333333331,0.2445187154011792,0.45830416031896243,0.7493068573469569,0.61163748312895871,0,0
branch_length_+5percent,phase,6,0.83333333333333337,1,0.33333333333333331,0.065269557966041933,0.10029668966780343,0.19323882549375235,0.5190297002247416,0,0
branch_length_+5percent,phase_masked,6,0.83333333333333337,1,0.33333333333333331,0.069972017508694126,0.095880400057609602,0.19352499542621068,0.49544194457386215,0,0
branch_length_+5percent,phase_weighted,6,0.83333333333333337,1,0.33333333333333331,0.074064130092493588,0.06421987834049396,0.16826209402952641,0.38166575015537807,0,0
branch_length_+5percent,complex,6,1,1,0.33333333333333331,0.0036647516325790442,0.0054588763038794829,0.010913916213119303,0.50017575701355721,0,0
branch_length_+5percent,cir,6,0.83333333333333337,1,0.33333333333333331,0.0024246816056072771,0.0036117145957821092,0.0072208909471080376,0.50017575701355788,0,0
branch_length_+5percent,amp_phase_joint,6,0.83333333333333337,1,0.33333333333333331,0.046212003261508004,0.070969649419418981,0.13677595279569368,0.51887519676377958,0,0
all_line_length_-1percent,amplitude,6,0.66666666666666663,1,0.33333333333333331,0.0025330752309187833,0.0020078276850401654,0.0056046717215867403,0.35824179983760562,0,0
all_line_length_-1percent,amplitude_raw_db,6,0.83333333333333337,1,0.33333333333333331,2.4019927681776565,1.0508043235500528,4.2512636984485912,0.24717458103893242,0,0
