experiment,noise_mode,view_kind,snr_db,trial,true_id,method,predicted_id,correct,group_correct,nmse,amplitude_rmse_db,weighted_phase_rmse_deg,intra_distance,inter_distance,length_error_m,main_length_error_m,branch_length_error_m,load_relative_error,Zs_error_ohm,Zr_error_ohm
noise_only,fixed_received_snr,three_view_complete,10,19,T5,oracle,T5,1,1,0.099431551930682885,3.1181165069084229,25.203019568728028,0.1045281559265123,0.13494387148487297,0,0,0,0,0,0
noise_only,fixed_received_snr,three_view_complete,10,19,T5,joint,T5,1,1,0.099431551930682885,3.1181165069084229,25.203019568728028,0.10283585439500095,0.13325825239392272,0,0,0,0,0,0
noise_only,fixed_received_snr,three_view_complete,10,19,T5,single_feature,T5,1,1,0.099431551930682885,3.1181165069084229,25.203019568728028,0.0048898367279494427,0.0067031501116518065,NaN,NaN,NaN,NaN,NaN,NaN
noise_only,fixed_received_snr,three_view_complete,10,20,T2,oracle,T2,1,1,0.099441052460612842,2.9951169188413367,21.087640185480925,0.087702855287347489,0.13660614352785053,0,0,0,0,0,0
noise_only,fixed_received_snr,three_view_complete,10,20,T2,joint,T2,1,1,0.099441052460612842,2.9951169188413367,21.087640185480925,0.086768590014574459,0.13037353176026337,0,0,0,0,0,0
noise_only,fixed_received_snr,three_view_complete,10,20,T2,single_feature,T2,1,1,0.099441052460612842,2.9951169188413367,21.087640185480925,0.0049435044003866878,0.0084614978505155453,NaN,NaN,NaN,NaN,NaN,NaN
noise_only,fixed_received_snr,three_view_complete,10,20,T3,oracle,T3,1,1,0.10055251142548095,2.9456478805988007,19.785632692875925,0.07860191620632774,0.098333357629182758,0,0,0,0,0,0
noise_only,fixed_received_snr,three_view_complete,10,20,T3,joint,T3,1,1,0.10055251142548095,2.9456478805988007,19.785632692875925,0.078246067780275805,0.095826656332391347,0,0,0,0,0,0
noise_only,fixed_received_snr,three_view_complete,10,20,T3,single_feature,T3,1,1,0.10055251142548095,2.9456478805988007,19.785632692875925,0.0049391428795559217,0.008022226340020951,NaN,NaN,NaN,NaN,NaN,NaN
noise_only,fixed_received_snr,three_view_complete,10,20,T4,oracle,T4,1,1,0.098025925180606474,4.1260321038179377,22.536093249095334,0.091452513263259538,0.1492587225159287,0,0,0,0,0,0
