split,scenario,scheme,flow,budget,truth_id,candidate_id,signature,rank,distance,fit_main_scale,fit_load_scale,generated,truth_candidate,in_candidate_set,decision_state
T,G002,H50,A,0,G002,G003,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;",2,3.80074982127307,0.991440451438077,1.1999994404762,0,0,0,LOW_CONFIDENCE
T,G002,H50,A,0,G002,G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",3,5.82414256504547,0.991683109533258,1.1999994404762,0,0,0,LOW_CONFIDENCE
T,G002,H50,A,0,G002,G002,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;",1,0.868003379287595,0.990976759294189,1.13184198093761,0,1,1,LOW_CONFIDENCE
T,G002,H50,A,0,G002,G003,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;",2,3.73765897166377,0.99139344556432,1.1999994404762,0,0,0,LOW_CONFIDENCE
T,G002,H50,A,0,G002,G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",3,6.04301367873404,1.01769603896674,1.1999994404762,0,0,0,LOW_CONFIDENCE
T,G002,H50,A,0,G002,G002,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;",1,0.948340450162648,1.01738632420818,0.901970309636401,0,1,1,LOW_CONFIDENCE
T,G002,H50,A,0,G002,G003,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;",2,3.90429985824565,1.01778364156368,1.04076704576805,0,0,0,LOW_CONFIDENCE
T,G002,H50,A,0,G002,G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",3,6.22832783948737,1.01330356637885,1.1999994404762,0,0,0,UNIQUE_CONFIDENT
T,G002,H50,A,0,G002,G002,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;",1,0.876588423609103,1.01342756944983,0.822401637832906,0,1,1,UNIQUE_CONFIDENT
T,G002,H50,A,0,G002,G003,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;",2,3.98171293320731,1.01375459795999,0.984282531897703,0,0,0,UNIQUE_CONFIDENT
T,G002,H50,A,0,G002,G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",3,6.09066743998192,0.98876790268125,1.1999994404762,0,0,0,UNIQUE_CONFIDENT
T,G002,H50,A,0,G002,G002,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;",1,0.933421084141603,0.988232753604079,0.948697007212775,0,1,1,UNIQUE_CONFIDENT
T,G002,H50,A,0,G002,G003,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;",2,4.00099912425914,0.988264988390415,1.15875382044411,0,0,0,UNIQUE_CONFIDENT
T,G002,H50,A,0,G002,G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",3,6.09428813838187,1.01350806557243,1.1999994404762,0,0,0,LOW_CONFIDENCE
T,G002,H50,A,0,G002,G002,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;",1,0.923290907820122,1.01335732498965,0.956963619810214,0,1,1,LOW_CONFIDENCE
T,G002,H50,A,0,G002,G003,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;",2,3.81452415005375,1.01375951889404,1.09787886658889,0,0,0,LOW_CONFIDENCE
T,G002,H50,A,0,G002,G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",3,6.00207694739223,0.987735585340854,1.1999994404762,0,0,0,LOW_CONFIDENCE
T,G002,H50,A,0,G002,G002,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;",1,1.0360631686141,0.987399056548903,0.928841052127894,0,1,1,LOW_CONFIDENCE
T,G002,H50,A,0,G002,G003,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;",2,3.86565840955642,0.987423301998602,1.1394001595321,0,0,0,LOW_CONFIDENCE
T,G002,H50,A,0,G002,G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",3,5.87684303687715,1.00052068066193,1.1999994404762,0,0,0,LOW_CONFIDENCE
T,G002,H50,A,0,G002,G002,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;",1,1.01595717281596,1.00017847359476,1.08120405259696,0,1,1,LOW_CONFIDENCE
T,G002,H50,A,0,G002,G003,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;",2,3.93927851581387,1.00015992704477,1.1999994404762,0,0,0,LOW_CONFIDENCE
T,G002,H50,A,0,G002,G001,"M=20,20,20,20,|T=0,0,0,0,|B=none",3,5.78024808493008,1.01045004299691,1.1999994404762,0,0,0,LOW_CONFIDENCE
T,G002,H50,A,0,G002,G002,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;",1,0.871765778174063,1.01054422223999,1.19861660379873,0,1,1,LOW_CONFIDENCE
T,G002,H50,A,0,G002,G003,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;",2,3.78664973610705,1.01060684018199,1.1999994404762,0,0,0,LOW_CONFIDENCE
