sample,error_type,prior_error_rate,prior_error_applied,candidate_count,generation_time,coverage,false_unique,decision_state,best_is_truth,candidate_set_size,distance,margin,confidence,entropy
wrong_open_rate_00_r16,wrong_open,0,0,7,0.264442,1,0,UNIQUE_CONFIDENT,1,1,0.0651236573620669,0.0669737384979132,0.57253590023919,0.724175022467993
wrong_open_rate_00_r17,wrong_open,0,0,7,0.264442,1,0,UNIQUE_CONFIDENT,1,1,0.0304544287394128,0.0934698424235099,0.722906980813916,0.544436039800136
wrong_open_rate_00_r18,wrong_open,0,0,7,0.264442,1,0,UNIQUE_CONFIDENT,1,1,0.0352117007317489,0.0848118719198254,0.683259051932726,0.595236303558665
wrong_open_rate_00_r19,wrong_open,0,0,7,0.264442,1,0,UNIQUE_CONFIDENT,1,1,0.0318083165038088,0.088877005687627,0.708516657263323,0.563618256531588
wrong_open_rate_00_r20,wrong_open,0,0,7,0.264442,1,0,REJECTED,1,0,0.0877806329795431,0.0529393865456649,0.472355464939877,0.817096314739391
wrong_open_rate_05_r01,wrong_open,5,1,4,0.035505,0,0,REJECTED,0,0,0.119667605800182,0,0.354613147739099,0.915195173957431
wrong_open_rate_05_r02,wrong_open,5,0,7,0.264442,1,0,UNIQUE_CONFIDENT,1,1,0.0744133638643849,0.0602218944395315,0.528036744614073,0.766954479953923
wrong_open_rate_05_r03,wrong_open,5,0,7,0.264442,1,0,UNIQUE_CONFIDENT,1,1,0.027465910097709,0.0958997322145834,0.741975863182397,0.518684438495999
wrong_open_rate_05_r04,wrong_open,5,0,7,0.264442,1,0,UNIQUE_CONFIDENT,1,1,0.0391090801591052,0.0861396286533038,0.685403926771082,0.594660099059561
wrong_open_rate_05_r05,wrong_open,5,0,7,0.264442,1,0,UNIQUE_CONFIDENT,1,1,0.0545884716312371,0.0757039476072547,0.619056895760474,0.673870831627537
wrong_open_rate_05_r06,wrong_open,5,0,7,0.264442,1,0,UNIQUE_CONFIDENT,1,1,0.0296226813434894,0.0944074392862592,0.73016527173485,0.534622006390382
wrong_open_rate_05_r07,wrong_open,5,0,7,0.264442,1,0,LOW_CONFIDENCE,1,1,0.0779893498463592,0.0575066284754279,0.508133739196245,0.784977930627197
