sample,parameter_error,length_error_percent,load_error_percent,distance,relative_distance,margin,confidence,entropy,candidate_set_size,decision_state,best_is_truth,false_unique
length_+10_load_-16.63_r09,10,10,-16.6339862755125,0.36658380710042,1.28448476818285,5.55111512312578e-17,0.235405619655814,0.903764143910203,0,REJECTED,0,0
length_+10_load_+11.33_r10,10,10,11.3306753449276,0.361098558850682,1.30014384749969,0,0.235958168095926,0.902968515265729,0,REJECTED,0,0
length_+20_load_+00.02_r01,20,20,0.016068428463023,0.348800382942216,1.29752467861552,0.00164282463237891,0.236392146651671,0.900858846205607,0,REJECTED,0,0
length_+20_load_+02.61_r02,20,20,2.60945314147813,0.352519710910956,1.295142826506,0.00160978669617151,0.235485636883084,0.90220766976027,0,REJECTED,0,0
length_+20_load_+02.73_r03,20,20,2.72749328454326,0.350077776147038,1.29641485814379,0.00173823919110749,0.236221725997002,0.90177383195207,0,REJECTED,0,0
length_+20_load_-12.43_r04,20,20,-12.4315004739448,0.353337453300754,1.28645211739404,0.00182429175026794,0.236150588960059,0.902185331419517,0,REJECTED,0,0
length_+20_load_-13.28_r05,20,20,-13.2818067333232,0.351667357877274,1.28531968675218,0.00178604812991423,0.23556380544809,0.902754731357664,0,REJECTED,0,0
length_+20_load_+12.13_r06,20,20,12.12772784158,0.347745323321372,1.29873126614268,0.00180586244693676,0.237627262228088,0.899639002762709,0,REJECTED,0,0
length_+20_load_+08.34_r07,20,20,8.34099014887214,0.347336431710447,1.29441993718936,0.001763026411296,0.236815102693592,0.900708505142609,0,REJECTED,0,0
length_+20_load_+01.89_r08,20,20,1.88576656070955,0.3506587222086,1.29295558747488,0.00159991486886019,0.235851787097679,0.901404788145104,0,REJECTED,0,0
length_+20_load_-12.39_r09,20,20,-12.3930480434221,0.352423460709653,1.28754799430054,0.00187683462401284,0.235754473572174,0.903119632613264,0,REJECTED,0,0
length_+20_load_+01.63_r10,20,20,1.62645792868794,0.350230381027009,1.29050333679762,0.00168032215998248,0.236130760277873,0.901562353156213,0,REJECTED,0,0
