method_id,category,metric_name,numerator,denominator,rate,ci_low,ci_high,evaluable_count,definition_version
W_GLRT_compatible,structure_out,singleton_rate,63,73,0.863013698630137,0.765875725934301,0.923856103906059,73,stage4a7_1_independent_scenario_metrics_v1
W_GLRT_compatible,structure_out,ambiguous_set_rate,0,73,0,0,0.0499920079557311,73,stage4a7_1_independent_scenario_metrics_v1
W_GLRT_compatible,structure_out,equivalence_class_rate,10,73,0.136986301369863,0.0761438960939413,0.234124274065699,73,stage4a7_1_independent_scenario_metrics_v1
W_GLRT_compatible,structure_out,rejection_rate,0,73,0,0,0.0499920079557311,73,stage4a7_1_independent_scenario_metrics_v1
W_GLRT_compatible,structure_out,false_unique_unconditional,0,0,NaN,NaN,NaN,0,stage4a7_1_independent_scenario_metrics_v1
W_GLRT_compatible,structure_out,false_unique_conditional,0,0,NaN,NaN,NaN,0,stage4a7_1_independent_scenario_metrics_v1
W_GLRT_compatible,structure_out,parameter_ood_false_acceptance,0,0,NaN,NaN,NaN,0,stage4a7_1_independent_scenario_metrics_v1
W_GLRT_compatible,structure_out,structure_ood_false_acceptance,73,73,1,0.950007992044269,1,73,stage4a7_1_independent_scenario_metrics_v1
W_GLRT_compatible,structure_out,average_candidate_set_size,83,73,1.13698630136986,NaN,NaN,73,stage4a7_1_independent_scenario_metrics_v1
W_GLRT_compatible,parameter_out,topology_set_accuracy,167,210,0.795238095238095,0.735590190933532,0.844278655284796,210,stage4a7_1_independent_scenario_metrics_v1
W_GLRT_compatible,parameter_out,accepted_coverage,177,210,0.842857142857143,0.787532454788261,0.885863624691088,210,stage4a7_1_independent_scenario_metrics_v1
W_GLRT_compatible,parameter_out,topology_selective_risk,10,177,0.0564971751412429,0.0309742890852328,0.10086195563525,177,stage4a7_1_independent_scenario_metrics_v1
W_GLRT_compatible,parameter_out,unique_output_precision,62,64,0.96875,0.893027082290417,0.991387861653828,64,stage4a7_1_independent_scenario_metrics_v1
W_GLRT_compatible,parameter_out,singleton_rate,64,210,0.304761904761905,0.246474661758736,0.370063681871079,210,stage4a7_1_independent_scenario_metrics_v1
W_GLRT_compatible,parameter_out,ambiguous_set_rate,0,210,0,0,0.0179640507592832,210,stage4a7_1_independent_scenario_metrics_v1
W_GLRT_compatible,parameter_out,equivalence_class_rate,113,210,0.538095238095238,0.470587164436082,0.604234622172735,210,stage4a7_1_independent_scenario_metrics_v1
W_GLRT_compatible,parameter_out,rejection_rate,33,210,0.157142857142857,0.114136375308912,0.212467545211739,210,stage4a7_1_independent_scenario_metrics_v1
