cluster_id,truth_set,generation_mechanism,parameter_hash,observation_hash,same_theta_distance,profile_distance,profile_equivalent,tau_exact,tau_profile,independent
stage4a7_2_nonunique_0059,"G004,G007",same_theta_symmetry_preserving_Zs_equals_Zr,aba5bd709b1230b6d69be19eb9b6ec386b5acee93efe90a19778664b4c7ff299,4a61859bd3250c88f1bed29dbe9213a7f0e022e0bec8b58c4381e5fb2ad87c0b,8.26458279080061e-17,6.74557922205304e-17,1,1e-10,1e-08,1
stage4a7_2_nonunique_0060,"G004,G007",same_theta_symmetry_preserving_Zs_equals_Zr,104adb34af9772301dca0db7cc7026bb8edf4c59c4c1a96a198d868c09738e2d,cfed7f59f6633891dbb1454c6cc7949694d2890d21990fa9df4b7179a3392a32,1.02372757439299e-16,7.93506248473707e-17,1,1e-10,1e-08,1
stage4a7_2_nonunique_0061,"G004,G007",same_theta_symmetry_preserving_Zs_equals_Zr,c40935a9370a3feff7bf4186419d2657c267e3688dbfa8ae06972f2b9c29bb36,c21b0afa5a0413c9ee6c414afc94f52406f35a6947d8054c27d7a2e3d84c569f,7.83459686221074e-17,7.83459686221074e-17,1,1e-10,1e-08,1
stage4a7_2_nonunique_0062,"G004,G007",same_theta_symmetry_preserving_Zs_equals_Zr,38f1d263cd7bd29419b5724d27886d3bfb11ccab55b19e74d11f3a0533cb5c95,6f034f4a04fac5aef8878c3924575c081a1656138cecf29583c967583c771ae2,1.13176323411439e-16,9.33385052400753e-17,1,1e-10,1e-08,1
stage4a7_2_nonunique_0063,"G004,G007",same_theta_symmetry_preserving_Zs_equals_Zr,0e3f0852311485e01609b5f2c66fd121f08902ac94ad00828f767915da08215f,0a94a633ec1be487424491903ba4177db6db708d444b30203ad0d0c14a28f953,8.84364233145733e-17,8.84364233145733e-17,1,1e-10,1e-08,1
stage4a7_2_nonunique_0064,"G004,G007",same_theta_symmetry_preserving_Zs_equals_Zr,871fc15c42f8cd187485ae35707e62f8bf1ae7f1d261f64bc8d710f59e3d8798,498466e3c705d74768a76fa0550a3fcab24ea8e417ab57131866015a93dc8ff5,1.0021866788196e-16,9.48782308973743e-17,1,1e-10,1e-08,1
stage4a7_2_nonunique_0065,"G004,G007",same_theta_symmetry_preserving_Zs_equals_Zr,83f9bd448bfe649c9777ac83d57c8d24c2992d1e8560056b54f53b86d68ba5be,d09409217a77d3ba9f796522005d586f4d50971f8201e55e20f9069ceeb7818d,9.86983606378061e-17,8.70098817899272e-17,1,1e-10,1e-08,1
stage4a7_2_nonunique_0066,"G004,G007",same_theta_symmetry_preserving_Zs_equals_Zr,c6d41fa8a54351b1ae5b0e0852375103bed6082799ed27638e120b673332c75f,4d66b7211fdfc6975749dfdd8ae25158a3dac9d7a9d3cc131b3765c107e10cfd,1.13770351192332e-16,9.81862035121889e-17,1,1e-10,1e-08,1
stage4a7_2_nonunique_0067,"G004,G007",same_theta_symmetry_preserving_Zs_equals_Zr,0e4e4a75aa15c0540b69911fab8b51519c67edfae8fe391d42bdbdd399398d5c,8273031ff40b478b9dd6723033ec78786ea62632bc6cf8a30baeefbd61bfa4a7,9.75826191262789e-17,9.55805962992648e-17,1,1e-10,1e-08,1
stage4a7_2_nonunique_0068,"G004,G007",same_theta_symmetry_preserving_Zs_equals_Zr,1111e6907204511dcbdf1956b362985a7485fb2b6809e39cb6591595ed9ffe96,3dd3b51a86c852448811fcc1dad3edb9e28b014b5f58ec2bea55c38a6ca334a2,1.14975166895329e-16,9.38108702242185e-17,1,1e-10,1e-08,1
stage4a7_2_nonunique_0069,"G004,G007",same_theta_symmetry_preserving_Zs_equals_Zr,730f17a931bdc3abcf96e9a12e9302aa6f653fabcf591282fbb8e31ffba71734,a87f8428da4dab75d92613e2ee2514a82b7abe7c03616d703a4b11a97a7933ad,8.92354914643209e-17,8.22617370403617e-17,1,1e-10,1e-08,1
stage4a7_2_nonunique_0070,"G004,G007",same_theta_symmetry_preserving_Zs_equals_Zr,41db0b9da594ad30a8117b714f11bc2833e21707827315d416ecfe3544576414,92f6b4b849ed4c5a43115461b729abf4ebbe15a9cad4dbac460ae68a97df712e,8.43931466646264e-17,8.43931466646264e-17,1,1e-10,1e-08,1
stage4a7_2_nonunique_0071,"G004,G007",same_theta_symmetry_preserving_Zs_equals_Zr,84dcaf4f8f843399e6934c1c3dc38107e6c0872203927fe7241ef0c2d4beaf52,d52e492f0cfbc967362eb1b34529631211d672f38477cf022ce311338b728753,9.74569462818626e-17,8.66752649073571e-17,1,1e-10,1e-08,1
