candidate_id,nearest_pair_key,same_theta_nearest_candidate,same_theta_distance,same_theta_template_i,same_theta_template_j,same_theta_numerically_equivalent,numerical_tolerance,noise_resolution_threshold,cross_theta_scope,cross_theta_profile_distance,cross_theta_template_i,cross_theta_template_j,same_theta_complex_distance,same_theta_magnitude_distance,same_theta_phase_distance_rad,cross_theta_complex_distance,cross_theta_magnitude_distance,cross_theta_phase_distance_rad,cross_theta_numerically_equivalent,source_formal_experiment_hash
R21C_061,R21C_060|R21C_061,R21C_060,0.00977685122143609,21,21,0,1e-10,NaN,nearest_same_theta_pairs_only,1.4824613695667,36,3,0.00977685122143609,0.00211701513327605,0.0756682298357351,0.00917898474102049,0.00527058618231875,0.0916598566775422,0,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8
R21C_062,R21C_038|R21C_062,R21C_038,0.00819270301843926,9,9,0,1e-10,NaN,nearest_same_theta_pairs_only,2.26134171285197,3,3,0.00819270301843926,0.00403061199380826,0.0338301944171849,0.00821390758130866,0.00396861631454543,0.0347240376327654,0,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8
R21C_063,R21C_026|R21C_063,R21C_026,0.0161904632860703,181,181,0,1e-10,NaN,nearest_same_theta_pairs_only,2.26501475606638,3,9,0.0161904632860703,0.0136841189783816,0.0409650843167778,0.0235718473459938,0.0127960135545643,0.143375314967101,0,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8
R21C_064,R21C_064|R21C_086,R21C_086,0.00927012878656608,63,63,0,1e-10,NaN,nearest_same_theta_pairs_only,2.36449747255576,2,3,0.00927012878656607,0.00762581174096339,0.01222244459786,0.0062361112415626,0.00328133111590121,0.0249317881762663,0,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8
R21C_065,R21C_043|R21C_065,R21C_043,0.00311212288144443,1,1,0,1e-10,NaN,nearest_same_theta_pairs_only,3.97359636312223,3,3,0.00311212288144443,0.000942366689507022,0.0070045684567053,0.00317901600304188,0.000943906799437065,0.00758173767297261,0,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8
R21C_066,R21C_009|R21C_066,R21C_009,0.0037911447128821,1,1,0,1e-10,NaN,nearest_same_theta_pairs_only,0.812862320136431,9,3,0.0037911447128821,0.00201748720320749,0.0626249602640863,0.00329053630874345,0.0025921624383834,0.0392807210921928,0,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8
R21C_067,R21C_010|R21C_067,R21C_010,0.00446223526686254,1,1,0,1e-10,NaN,nearest_same_theta_pairs_only,0.829506324283571,2,3,0.00446223526686254,0.00197751430353206,0.0622640143509645,0.00499002317845247,0.00366760123411822,0.0355852442614498,0,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8
R21C_068,R21C_011|R21C_068,R21C_011,0.00965738350644372,28,28,0,1e-10,NaN,nearest_same_theta_pairs_only,1.52538529957924,5,3,0.00965738350644372,0.00261618114860281,0.0668356359976981,0.00987313811106603,0.00752866445685626,0.0316148271303794,0,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8
R21C_069,R21C_018|R21C_069,R21C_018,0.00623221667665977,75,75,0,1e-10,NaN,nearest_same_theta_pairs_only,1.69909466814157,3,3,0.00623221667665977,0.00350297812035175,0.0214070247052983,0.00790449005247985,0.00478644935560671,0.0568295518271617,0,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8
R21C_070,R21C_070|R21C_072,R21C_072,0.00358772564095711,223,223,0,1e-10,NaN,nearest_same_theta_pairs_only,1.78464366710343,2,3,0.00358772564095712,0.00256013151080306,0.0137097715049726,0.00595025565446523,0.00165029601054531,0.0409906970231846,0,36ab4a9a2ffceeeb1e7241d89cf281540d0e78acce35f27e068187e3fe0832c8
