regime,snr_db,scheme,profile,library,E_seed,A_seed,F_seed,class_thresholds,fit_threshold,calibration_identity,bank_identity,actual_views
on_on,10,H50_Zin50,continuous,pair,910000000,920000000,930000000,[1.004077931396104 0.9901100773939753],1.03216734224085,757a35778e54be3eddf6d4d0209ab93ed6efc2fd7835453966fea1c35b73defc,f8e5b8a7a5e55a7411208b230d5991eead4b0ddb9fb1c69f4d48a03d0f6dcf0c_continuous_v1,[5 6]
on_on,10,H25,continuous,pair,910000000,920000000,930000000,[0.9728491820149603 0.9865922299277671],0.996783976197181,34a754a3b429bd6494d49ad5dee8ff4e00b081b2f39a01eb2aca39c94d532e5b,f8e5b8a7a5e55a7411208b230d5991eead4b0ddb9fb1c69f4d48a03d0f6dcf0c_continuous_v1,3
on_on,10,Zin25,continuous,pair,910000000,920000000,930000000,[1.165981265911329 1.128838419088241],1.13645848869473,669039198afa497ea0b87a447b334d66d0d071819076133e3bf6d9c5950132a2,f8e5b8a7a5e55a7411208b230d5991eead4b0ddb9fb1c69f4d48a03d0f6dcf0c_continuous_v1,4
on_on,10,H25_Zin25,continuous,pair,910000000,920000000,930000000,[0.9961237464461251 1.03242593918488],1.04830244573993,cc2e349815da2dc0706eae97bb7f46a0eccd59fb770dbad426201b725876af1f,f8e5b8a7a5e55a7411208b230d5991eead4b0ddb9fb1c69f4d48a03d0f6dcf0c_continuous_v1,[3 4]
on_on,10,M2_node,continuous,pair,910000000,920000000,930000000,[0.9543342360674457 1.391748427796421],1.2858701238905,b50fe4c03a2008b09d208e75272a4635130c4afd4aded171f457a8a68ce86c10,f8e5b8a7a5e55a7411208b230d5991eead4b0ddb9fb1c69f4d48a03d0f6dcf0c_continuous_v1,14
on_on,10,M2_direct_joint,continuous,pair,910000000,920000000,930000000,[0.9367385710613358 1.190499546390075],1.13207976426185,14a896c81dc766990246b70fe7561b0c3fa0dfc31ea8d33e88fcf8b8263c40b6,f8e5b8a7a5e55a7411208b230d5991eead4b0ddb9fb1c69f4d48a03d0f6dcf0c_continuous_v1,[13 14]
on_on,10,M2_node_dominance,continuous,pair,910000000,920000000,930000000,[0.9543342360674457 1.391748427796421],1.2858701238905,d513780a37e1ce1a557b738a786ef36b4329c3ee65d743d4250b4a70247e5528,f8e5b8a7a5e55a7411208b230d5991eead4b0ddb9fb1c69f4d48a03d0f6dcf0c_continuous_v1,14
on_on,10,H50,grid45,original_three,910000000,920000000,930000000,[1.311937692793169 1.045776981484029 0.9778425514323348],1.32941077197866,9a8b155c5f50275650806b94b0372eef6130f415e0519b776f6143777e0d58ad,f8e5b8a7a5e55a7411208b230d5991eead4b0ddb9fb1c69f4d48a03d0f6dcf0c,5
on_on,10,Zin50,grid45,original_three,910000000,920000000,930000000,[1.1273299155622 1.139677404936809 1.113443274807531],1.10052108613722,7cf72448264760e67312b4ac8a7fb0f8eb6e869b8f004e7bf85bb0697906d662,f8e5b8a7a5e55a7411208b230d5991eead4b0ddb9fb1c69f4d48a03d0f6dcf0c,6
on_on,10,H50_Zin50,grid45,original_three,910000000,920000000,930000000,[1.221906037453903 1.093625683282478 1.018215803997986],1.21163226365696,f37121c3ac198fc25b87fd8a59a36495c34168d76fb90cb0a3f18ea8e834d25c,f8e5b8a7a5e55a7411208b230d5991eead4b0ddb9fb1c69f4d48a03d0f6dcf0c,[5 6]
on_on,10,H25,grid45,original_three,910000000,920000000,930000000,[1.361032180710047 1.056970585367501 0.974076499505242],1.33824746326248,e0f8b689714218fa6d515300fede6bf7ef1fb76b9c4ad66cda0fbcd08380833c,f8e5b8a7a5e55a7411208b230d5991eead4b0ddb9fb1c69f4d48a03d0f6dcf0c,3
on_on,10,Zin25,grid45,original_three,910000000,920000000,930000000,[1.10868295684541 1.165106505254777 1.17907184344482],1.09479130019391,503a1865e8c042c3f26f3ba5799dcc1c37c9a3aeba630ae8f57dd7654d3c9e27,f8e5b8a7a5e55a7411208b230d5991eead4b0ddb9fb1c69f4d48a03d0f6dcf0c,4
on_on,10,H25_Zin25,grid45,original_three,910000000,920000000,930000000,[1.19698929315545 1.049768428171781 1.003812738475147],1.1940726221203,cf746a72b435a7de8ca2ab4388cff6d6ca79f7341b8e1b7eeccd271d62845306,f8e5b8a7a5e55a7411208b230d5991eead4b0ddb9fb1c69f4d48a03d0f6dcf0c,[3 4]
on_on,10,M2_node,grid45,original_three,910000000,920000000,930000000,[1.333093931707317 0.9042168685283613 0.9552854828787122],1.23411484401605,c16d4705ea6bf620c2560e404af156563154e94d0a60c9a2730608bf6714b3a8,f8e5b8a7a5e55a7411208b230d5991eead4b0ddb9fb1c69f4d48a03d0f6dcf0c,14
on_on,10,M2_direct_joint,grid45,original_three,910000000,920000000,930000000,[1.272891104244053 0.9572582281992912 0.9406515473725031],1.22491775467294,e65b9ff093cec2d7770de0b56feb1fb6c6386a639a42f2f004cda2fc8b1af729,f8e5b8a7a5e55a7411208b230d5991eead4b0ddb9fb1c69f4d48a03d0f6dcf0c,[13 14]
